CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"1,34,640","57,870","31,23,390",25.29,90.00,-22.20,"1,350",90.00,90.65,50,"17,100.00",350,135.00,140.00,"1,050",-49.60,135.00,17.31,"21,18,233","-3,678","50,707",
,"37,919","17,932","11,37,015",25.33,72.00,-20.40,550,70.50,72.00,"3,550","17,150.00",650,166.00,170.25,50,-46.00,168.20,16.98,"4,27,478","-1,692","6,772",
,"1,21,873","28,867","29,43,434",24.95,55.00,-19.95,100,54.70,55.00,"19,850","17,200.00","1,750",198.10,202.90,50,-47.20,199.00,14.65,"7,98,745","-9,770","35,252",
,"34,042","11,175","8,59,653",24.58,41.00,-19.35,250,41.00,42.00,"1,550","17,250.00","1,250",236.00,240.00,250,-43.95,238.00,12.44,"94,191","-1,096","5,656",
,"1,08,052","4,497","20,68,900",24.90,32.00,-15.95,50,31.50,32.00,"7,750","17,300.00","13,250",280.00,281.00,50,-39.75,280.00,-,"1,96,172","-4,526","30,931",
,"35,971",-457,"6,51,271",24.95,24.00,-14.35,450,23.55,24.00,50,"17,350.00","1,050",316.50,324.35,50,-40.95,318.40,-,"19,219",-786,"6,313",
,"99,749","-2,551","12,47,386",25.03,17.80,-12.70,450,17.15,18.00,"8,450","17,400.00",100,362.00,367.20,50,-39.10,365.00,-,"71,816","-8,541","25,025",
,"37,057","-1,079","4,97,461",25.35,13.50,-10.95,50,13.10,13.50,950,"17,450.00",100,406.25,426.50,150,-32.85,410.10,-,"6,119",-970,"4,300",
,"1,66,979","3,724","15,77,237",25.56,10.00,-9.65,"11,300",10.00,10.35,50,"17,500.00",300,453.75,458.50,150,-33.05,456.90,-,"70,632","-4,985","46,173",
,"43,253","1,395","5,22,093",25.92,7.55,-8.35,300,7.55,8.25,100,"17,550.00",150,500.20,508.25,150,-27.90,506.65,-,"1,965",-349,"3,769",
,"1,36,654","4,383","11,33,572",26.81,6.30,-6.50,50,6.30,6.50,"10,300","17,600.00",100,550.00,556.95,150,-31.60,553.25,-,"15,297","-2,118","27,767",
,"41,187",-502,"4,51,936",27.93,5.55,-4.90,500,5.10,5.55,200,"17,650.00",100,598.00,605.70,150,-25.45,605.30,-,"2,588",-290,"3,016",
